186005;1.000;80.721;1.974;0.918;76.576;3.251;1.014;68.334;3.110;0.684;71.049;2.465;	;	;	;	;	;	;0.972;68.334;3.110;0.456;71.049;2.465;	;	;	;1.021;71.049;2.465;	;	;	;	;	;	;
186004;1.000;80.696;1.544;0.915;76.548;2.767;1.021;68.290;1.475;0.712;70.715;2.450;	;	;	;	;	;	;1.005;68.290;1.475;0.439;70.715;2.450;	;	;	;1.090;70.715;2.450;	;	;	;	;	;	;
186003;1.000;80.694;1.601;0.929;76.560;1.776;1.029;68.280;1.115;0.716;70.738;0.575;	;	;	;	;	;	;1.010;68.280;1.115;0.464;70.738;0.575;	;	;	;1.076;70.738;0.575;	;	;	;	;	;	;
186001;1.000;80.484;1.542;0.917;76.529;1.560;1.014;68.256;1.090;0.729;70.922;0.495;	;	;	;	;	;	;0.983;68.256;1.090;0.396;70.922;0.495;	;	;	;1.096;70.922;0.495;	;	;	;	;	;	;
186000;1.000;80.501;2.032;0.939;76.551;3.293;0.980;68.319;1.675;0.715;70.670;1.280;	;	;	;	;	;	;0.975;68.319;1.675;0.423;70.670;1.280;	;	;	;1.074;70.670;1.280;	;	;	;	;	;	;
187245;1.000;79.944;1.066;1.043;75.683;0.634;1.006;75.164;1.220;0.849;75.257;1.320;	;	;	;	;	;	;1.072;75.164;1.220;0.496;75.257;1.320;	;	;	;1.194;75.257;1.320;	;	;	;	;	;	;
187206;1.000;79.781;2.579;0.868;75.618;1.551;1.003;74.997;1.840;0.931;75.123;1.990;	;	;	;	;	;	;1.144;74.997;1.840;0.430;75.123;1.990;0.110;74.997;1.840;1.021;75.123;1.990;	;	;	;	;	;	;
187204;1.000;79.745;2.239;0.853;75.655;1.274;0.990;75.001;1.500;0.901;75.105;1.520;	;	;	;	;	;	;1.147;75.001;1.500;0.408;75.105;1.520;0.023;75.001;1.500;1.013;75.105;1.520;	;	;	;	;	;	;
187203;1.000;79.766;2.660;0.878;75.576;1.082;1.002;75.045;1.330;0.932;75.068;1.990;	;	;	;	;	;	;1.125;75.045;1.330;0.423;75.068;1.990;0.088;75.045;1.330;1.045;75.068;1.990;	;	;	;	;	;	;
187202;1.000;79.736;2.633;0.885;75.627;1.455;1.001;75.038;1.900;0.924;75.093;1.990;	;	;	;	;	;	;1.102;75.038;1.900;0.431;75.093;1.990;0.129;75.038;1.900;1.024;75.093;1.990;	;	;	;	;	;	;
187201;1.000;79.751;2.613;0.883;75.657;1.475;1.022;75.000;1.900;0.934;75.138;1.990;	;	;	;	;	;	;1.150;75.000;1.900;0.420;75.138;1.990;0.120;75.000;1.900;1.045;75.138;1.990;	;	;	;	;	;	;
187187;1.000;79.737;4.144;0.943;75.588;4.148;0.968;75.010;2.000;0.799;68.240;2.000;	;	;	;	;	;	;1.081;75.010;2.000;	;	;	;0.041;75.010;2.000;1.079;68.240;2.000;	;	;	;	;	;	;
187186;1.000;79.751;4.144;0.942;75.605;4.148;0.966;75.030;2.000;0.804;68.258;2.000;	;	;	;	;	;	;1.078;75.030;2.000;	;	;	;0.057;75.030;2.000;1.074;68.258;2.000;	;	;	;	;	;	;
187185;1.000;79.654;4.144;0.934;75.601;4.148;0.963;75.036;2.000;0.781;68.255;2.000;	;	;	;	;	;	;1.071;75.036;2.000;	;	;	;0.050;75.036;2.000;1.052;68.255;2.000;	;	;	;	;	;	;
